"Name","Latitude","Longitude"
"Canadian Residential Schools: Battleford Industrial School",52.71,-108.31
"",NA,NA
"",NA,NA
"Canadian Residential Schools: Shingle Point",68.98,-137.4
"",NA,NA
"Canadian Residential Schools: Whitehorse Baptist",60.72,-135.05
"Canadian Residential Schools: St. Paul's Hostel (Dawson City)",64.06,-139.43
"Canadian Residential Schools: Nain Residential School",56.54,-61.69
"",NA,NA
"Canadian Residential Schools: Makkovik Residential School",55.09,-59.17
"Canadian Residential Schools: North West River (Yale) Residential School",53.53,-60.14
"Canadian Residential Schools: St. Anthony Residential School",51.36,-55.59
"Canadian Residential Schools: Muddy Bay Public School",53.65,-57.05
"Canadian Residential Schools: St. Mary’s River Boarding School",52.31,-55.84
"Canadian Residential Schools: Federal Hostel at Pond Inlet",72.7,-77.96
